[mut 300K rep3] equilibrating 100 ps at 300.0 K...
[mut 300K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
27.2%,13600000,-662163.8855610765,298.060436802879,703,2:29:24
27.3%,13650000,-661157.7430663994,300.44970756852103,703,2:29:12
27.4%,13700000,-661491.3600624423,299.08438440665157,703,2:29:00
27.5%,13750000,-660608.2872526273,299.28422710435586,703,2:28:48
27.6%,13800000,-660391.6420608247,300.4139382326192,703,2:28:36
27.7%,13850000,-660374.3180595855,300.1719244280069,703,2:28:23
27.8%,13900000,-662766.7034084699,301.01142939859363,703,2:28:11
27.9%,13950000,-661548.1448410158,300.12702249570464,703,2:27:59
28.0%,14000000,-660883.7553225565,301.0312838422388,703,2:27:47
28.1%,14050000,-660914.0219336185,298.59426839982666,703,2:27:35
28.2%,14100000,-661797.10329615,299.00272825060034,703,2:27:22
28.3%,14150000,-660557.1317108432,299.8419198477813,702,2:27:10
28.4%,14200000,-662287.4097644794,300.0379796808001,702,2:26:58
28.5%,14250000,-660669.537563039,301.31260362547664,702,2:26:46
28.6%,14300000,-660473.6737137628,301.6538224968705,702,2:26:34
28.7%,14350000,-661269.6212740219,300.46602536944243,702,2:26:21
28.8%,14400000,-661436.1503266054,298.7075528860589,702,2:26:09
28.9%,14450000,-661039.7331868676,298.8481456262337,702,2:25:57
29.0%,14500000,-660737.9679392464,300.75817891899845,702,2:25:44
29.1%,14550000,-661247.7303407299,300.08879094018505,702,2:25:32
29.2%,14600000,-661074.5574151482,300.4618395960922,702,2:25:20
29.3%,14650000,-661556.6797586149,302.5391247523478,702,2:25:08
29.4%,14700000,-661515.5867317114,300.25570704645526,702,2:24:55
29.5%,14750000,-662302.3535043416,298.93434569667045,702,2:24:43
29.6%,14800000,-661435.055138466,299.53671653425107,702,2:24:31
29.7%,14850000,-660846.6191820703,302.568067024764,702,2:24:18
29.8%,14900000,-661659.6210378786,300.9370479823222,702,2:24:06
29.9%,14950000,-661342.0779110389,301.6739903139215,702,2:23:54
30.0%,15000000,-660615.1106663481,299.7688590765776,702,2:23:42
30.1%,15050000,-659979.5083343196,301.181165865517,702,2:23:29
30.2%,15100000,-660972.1276808609,300.06891411272517,702,2:23:17
30.3%,15150000,-660423.9454423562,300.0548570770892,702,2:23:05
30.4%,15200000,-660320.8568692515,300.234106665263,702,2:22:53
30.5%,15250000,-661981.6556829023,300.7202831206995,702,2:22:40
30.6%,15300000,-661603.3272260698,299.7020657734918,702,2:22:28
30.7%,15350000,-661755.5803615362,299.5357764140334,702,2:22:16
30.8%,15400000,-662171.6345756166,301.68704007789563,702,2:22:04
30.9%,15450000,-660408.6851579389,300.35099494566305,702,2:21:52
31.0%,15500000,-662433.6160725337,302.15392168505474,702,2:21:39
31.1%,15550000,-660223.6700249305,304.91198818180965,702,2:21:27
31.2%,15600000,-661054.0880353721,301.0098401477495,702,2:21:15
31.3%,15650000,-662246.0740039977,300.0116563147046,702,2:21:03
31.4%,15700000,-660989.9138116254,299.15607976515815,702,2:20:51
31.5%,15750000,-659926.1917809634,300.33024514942963,702,2:20:38
31.6%,15800000,-661032.8849402633,299.13170379094225,702,2:20:26
31.7%,15850000,-660434.3326818715,303.4793792729309,702,2:20:14
31.8%,15900000,-660466.6500250767,300.14407896251134,702,2:20:02
31.9%,15950000,-661649.0187859801,300.0452320367651,702,2:19:50
32.0%,16000000,-659695.6372167505,301.03602921095666,702,2:19:38
32.1%,16050000,-660796.1586608929,299.0178149417129,702,2:19:25
32.2%,16100000,-660740.5806636061,299.5734259903706,702,2:19:13
32.3%,16150000,-660398.3989436426,299.34947592422685,702,2:19:01
32.4%,16200000,-661051.1535418406,301.5605267571716,702,2:18:49
32.5%,16250000,-660820.8278287798,297.44069612508565,702,2:18:37
32.6%,16300000,-661210.3008055845,300.92158076635974,702,2:18:25
32.7%,16350000,-661141.1609671111,298.8734169530379,702,2:18:12
32.8%,16400000,-660256.4712212016,296.02248000906354,702,2:18:00
32.9%,16450000,-661858.18713139,299.86609436766486,702,2:17:48
33.0%,16500000,-660400.7513813856,300.9075684983531,702,2:17:36
33.1%,16550000,-661956.4180970537,300.8928623320906,702,2:17:24
33.2%,16600000,-660413.8705921173,302.22901938339675,702,2:17:12
33.3%,16650000,-660598.8485144549,299.21877683015254,702,2:16:59
33.4%,16700000,-662775.281458463,301.06136768920504,702,2:16:47
33.5%,16750000,-660938.1601068876,297.8201017843697,702,2:16:35
33.6%,16800000,-660283.3041135618,301.84985994607456,702,2:16:23
33.7%,16850000,-661570.0488914833,303.0923631166465,702,2:16:10
33.8%,16900000,-661171.3436631933,300.99188832835443,702,2:15:58
33.9%,16950000,-660257.4632296544,300.4758294802841,702,2:15:46
34.0%,17000000,-660086.0635322244,296.4476605694235,702,2:15:33
34.1%,17050000,-659892.9983133897,301.43186459023565,702,2:15:21
34.2%,17100000,-661485.7371175974,300.4130428800309,702,2:15:09
34.3%,17150000,-660507.4879141352,300.8763430768368,702,2:14:57
34.4%,17200000,-660748.7046238803,300.2367255715837,702,2:14:44
34.5%,17250000,-662115.0808059475,301.4384901993889,702,2:14:32
34.6%,17300000,-660761.9152253065,300.0371962472853,702,2:14:20
34.7%,17350000,-661426.9211365706,297.76291113779325,702,2:14:08
34.8%,17400000,-661046.552027958,300.960752442097,702,2:13:55
34.9%,17450000,-662312.6777494005,299.72765047370194,702,2:13:43
35.0%,17500000,-660828.7809255831,297.925126642975,702,2:13:31
35.1%,17550000,-660345.9637037255,301.20621335417417,702,2:13:18
35.2%,17600000,-661658.7441259664,302.7795045384865,702,2:13:06
35.3%,17650000,-661327.6928189648,299.2866221725296,702,2:12:54
35.4%,17700000,-660550.4694727515,298.7833668664716,702,2:12:41
35.5%,17750000,-661719.0655864691,301.23891610746114,702,2:12:29
35.6%,17800000,-661004.7356033181,299.2984184428801,702,2:12:17
35.7%,17850000,-660454.1326886453,302.33120149753427,702,2:12:05
35.8%,17900000,-660519.2728724205,301.97364244140437,702,2:11:52
35.9%,17950000,-660044.0312926797,298.00275371237893,702,2:11:40
36.0%,18000000,-661700.7863047984,297.19080321769655,702,2:11:28
36.1%,18050000,-660715.6992520504,297.8966544306677,702,2:11:16
36.2%,18100000,-661319.1458162018,299.96003923799026,702,2:11:03
36.3%,18150000,-660771.0352406921,298.81924812144695,702,2:10:51
36.4%,18200000,-661678.0122002987,300.8543174031651,702,2:10:39
36.5%,18250000,-661518.7409599242,301.2434152542172,702,2:10:27
36.6%,18300000,-662410.1792775504,298.148293275604,702,2:10:14
36.7%,18350000,-660649.9634684497,300.693959754604,702,2:10:02
36.8%,18400000,-659989.8043444101,301.55322963357713,702,2:09:50
36.9%,18450000,-661299.283489414,302.04074911789604,702,2:09:37
37.0%,18500000,-662989.7323663482,300.6300315798008,702,2:09:25
37.1%,18550000,-662224.502018658,299.26014211973114,702,2:09:13
37.2%,18600000,-660996.0810692529,300.44393254432663,702,2:09:01
37.3%,18650000,-660943.6745796236,299.5400741064571,702,2:08:48
37.4%,18700000,-661138.0542059131,298.57577936887867,702,2:08:36
37.5%,18750000,-661016.9381872411,302.5762147333174,702,2:08:24
37.6%,18800000,-659653.5834996859,301.2145625170599,702,2:08:12
37.7%,18850000,-661833.6603211788,300.68032801144744,702,2:07:59
37.8%,18900000,-660894.0445021717,300.7020179278985,702,2:07:47
37.9%,18950000,-661337.3608504618,302.0674753926562,702,2:07:35
38.0%,19000000,-661924.0098119816,299.2743782258848,702,2:07:23
38.1%,19050000,-661062.4115775367,299.55730964378154,702,2:07:10
38.2%,19100000,-660806.6824236675,301.8928816379414,702,2:06:58
38.3%,19150000,-661548.274373244,301.10917951741925,702,2:06:46
38.4%,19200000,-660425.5306607941,299.45027024185254,702,2:06:34
38.5%,19250000,-662396.2417545589,301.99374310701126,702,2:06:21
38.6%,19300000,-661559.8230788978,298.4333511558979,702,2:06:09
38.7%,19350000,-661084.8578541884,301.3913051179865,702,2:05:57
38.8%,19400000,-660983.9632292348,300.1115776635568,702,2:05:44
38.9%,19450000,-662830.4927324294,298.1275210955559,702,2:05:32
39.0%,19500000,-660477.8860557755,298.76801156958254,702,2:05:20
39.1%,19550000,-658978.7147354572,299.09069664239894,702,2:05:08
39.2%,19600000,-662097.5444751657,297.6202814704801,702,2:04:55
39.3%,19650000,-660231.6343730628,302.18595292390046,702,2:04:43
39.4%,19700000,-661363.5284346524,301.832937782156,702,2:04:31
39.5%,19750000,-661261.4362948774,299.71623472820136,702,2:04:18
39.6%,19800000,-660392.7482127971,300.81393700143366,702,2:04:06
39.7%,19850000,-661390.7121619182,298.76093828413514,702,2:03:54
39.8%,19900000,-661383.7482440406,298.83988599860686,702,2:03:41
39.9%,19950000,-661691.7305008238,297.8576842092628,702,2:03:29
40.0%,20000000,-660426.0834429641,298.866992798217,702,2:03:17
40.1%,20050000,-663103.8839807888,299.5805664272621,702,2:03:05
40.2%,20100000,-661461.6088930639,300.929504636766,702,2:02:52
