[mut 400K rep1] equilibrating 100 ps at 400.0 K...
[mut 400K rep1] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
18.6%,9300000,-583406.6503004064,400.8035117207991,692,2:49:32
18.7%,9350000,-582688.3823974244,398.5848727746687,692,2:49:19
18.8%,9400000,-582012.7015723581,399.46491483368993,692,2:49:07
18.9%,9450000,-582371.2269360078,400.3800099465423,692,2:48:55
19.0%,9500000,-581011.8557077819,400.74992486839056,692,2:48:42
19.1%,9550000,-580969.6731794048,399.29215655178115,692,2:48:30
19.2%,9600000,-583827.5776574137,397.9518137271248,692,2:48:18
19.3%,9650000,-580288.9050740581,403.5722105295399,692,2:48:06
19.4%,9700000,-581101.1128560677,401.6132238340109,692,2:47:54
19.5%,9750000,-583227.3507493981,400.5121639885726,692,2:47:41
19.6%,9800000,-581094.4367170716,401.89118604504273,692,2:47:29
19.7%,9850000,-583038.4803275191,400.3985885127492,692,2:47:17
19.8%,9900000,-581383.4494357468,397.73715294408447,692,2:47:05
19.9%,9950000,-582546.6729754647,404.68423844418464,692,2:46:53
20.0%,10000000,-584543.6890444062,398.39564000513553,692,2:46:41
20.1%,10050000,-582727.6923898202,397.94787417573633,692,2:46:28
20.2%,10100000,-583484.9326306307,400.11650767981126,692,2:46:16
20.3%,10150000,-582743.2896848582,401.5056919881584,692,2:46:04
20.4%,10200000,-584126.9241049713,399.45251420034225,692,2:45:52
20.5%,10250000,-584935.6510786847,399.5174272629926,692,2:45:40
20.6%,10300000,-583581.2232853449,400.2324558399937,692,2:45:27
20.7%,10350000,-582258.4619695917,398.9753808060474,692,2:45:15
20.8%,10400000,-583742.6969236671,398.36237765648093,692,2:45:03
20.9%,10450000,-581927.118718816,399.7837051227473,692,2:44:51
21.0%,10500000,-581694.8972378965,401.361853594851,692,2:44:38
21.1%,10550000,-582532.208725132,401.3350825524615,692,2:44:26
21.2%,10600000,-582264.5892546754,399.7422055302805,692,2:44:14
21.3%,10650000,-583381.5324701066,400.06484583546745,692,2:44:01
21.4%,10700000,-583570.1792630698,399.6823512097539,692,2:43:49
21.5%,10750000,-582537.7138716821,400.6712681435101,692,2:43:36
21.6%,10800000,-582078.6813827101,402.5407643478404,692,2:43:24
21.7%,10850000,-583618.0530910539,400.4633672725113,692,2:43:12
21.8%,10900000,-580478.1237969552,400.5782410095877,692,2:43:00
21.9%,10950000,-582709.701660519,399.88277588664056,692,2:42:47
22.0%,11000000,-583594.1521501015,400.5959242232063,692,2:42:35
22.1%,11050000,-582512.1082298183,400.45405560559317,692,2:42:22
22.2%,11100000,-583224.863535264,401.42076779516,692,2:42:10
22.3%,11150000,-582740.9927993198,398.3532898277099,692,2:41:58
22.4%,11200000,-583234.6623833561,402.62179375707984,692,2:41:45
22.5%,11250000,-582888.6083309883,404.3185764471308,692,2:41:33
