[wt 400K rep3] equilibrating 100 ps at 400.0 K...
[wt 400K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
17.4%,8700000,-527895.6513932878,399.9735049434653,717,2:46:02
17.5%,8750000,-527566.9137862176,402.40708739759594,717,2:45:50
17.6%,8800000,-527396.0902650342,402.57846851679506,717,2:45:38
17.7%,8850000,-529070.9620510121,399.712630792082,717,2:45:26
17.8%,8900000,-528392.6486879401,398.386745399961,717,2:45:15
17.9%,8950000,-528464.3209423232,401.6556697507207,717,2:45:03
18.0%,9000000,-529353.947778781,404.83301584239507,717,2:44:51
18.1%,9050000,-526870.9517275244,397.5160773064171,717,2:44:39
18.2%,9100000,-528623.976061217,399.37004027825196,717,2:44:27
18.3%,9150000,-529420.2275814814,399.21237259243844,717,2:44:15
18.4%,9200000,-528508.2914179824,404.4325786811171,717,2:44:03
18.5%,9250000,-528064.3582387716,400.153055245701,717,2:43:51
18.6%,9300000,-527303.3516335106,399.68378106460153,717,2:43:40
18.7%,9350000,-527123.0633001635,400.7371395667735,717,2:43:27
18.8%,9400000,-528479.4961799444,398.5055052050058,717,2:43:16
18.9%,9450000,-529478.598206901,397.8992193504555,717,2:43:04
19.0%,9500000,-528371.1628514635,398.9477695647142,717,2:42:52
19.1%,9550000,-528229.734375577,400.5099479628652,717,2:42:40
19.2%,9600000,-529642.7630851488,403.5487368599737,717,2:42:28
19.3%,9650000,-528690.150785896,399.06120590814055,717,2:42:16
19.4%,9700000,-529702.2464647638,399.2307225891692,717,2:42:04
19.5%,9750000,-527804.4923072034,399.0531348534288,717,2:41:52
19.6%,9800000,-528959.9997270545,402.1439072305807,717,2:41:40
19.7%,9850000,-527161.7431623326,398.5567772546946,717,2:41:28
19.8%,9900000,-528028.9035358285,396.96121069404285,717,2:41:16
19.9%,9950000,-528399.5157698072,398.2744865964317,717,2:41:04
20.0%,10000000,-528412.5150047522,401.1094629630068,717,2:40:52
20.1%,10050000,-528042.5491739935,397.1990737532692,717,2:40:40
20.2%,10100000,-527989.423077846,397.2898915178376,717,2:40:29
20.3%,10150000,-527735.0570948897,399.37735083844683,717,2:40:17
20.4%,10200000,-526910.3789302255,401.66253873345414,717,2:40:05
20.5%,10250000,-528553.9817754477,397.4310491130097,717,2:39:53
20.6%,10300000,-526125.3496542694,402.1436864418499,717,2:39:40
20.7%,10350000,-529097.9293117407,397.6988903754512,717,2:39:28
20.8%,10400000,-529108.3605168713,401.223635268869,717,2:39:16
20.9%,10450000,-529102.4610327766,399.6516685703227,717,2:39:04
21.0%,10500000,-526438.1013280381,404.1204079479637,717,2:38:52
21.1%,10550000,-528614.2408412728,398.4638497311438,717,2:38:40
21.2%,10600000,-527883.9692995604,401.9337163589376,717,2:38:29
21.3%,10650000,-527338.4697800502,398.923458272254,717,2:38:16
21.4%,10700000,-527768.8703356474,397.50410565079596,717,2:38:04
21.5%,10750000,-529046.5513345785,397.3988875545685,717,2:37:53
21.6%,10800000,-528680.0807866664,399.4075988945551,717,2:37:41
21.7%,10850000,-528737.5828616982,399.27909985327756,717,2:37:29
21.8%,10900000,-527291.6830798225,403.0582669607254,717,2:37:17
21.9%,10950000,-529784.1293148221,404.074680148624,717,2:37:06
22.0%,11000000,-527951.2766129947,402.4751393908193,717,2:36:54
22.1%,11050000,-528186.322790138,403.07050846923966,717,2:36:42
22.2%,11100000,-527098.1704732655,399.3133957027824,717,2:36:30
22.3%,11150000,-527835.4410184468,401.31545884876624,717,2:36:18
22.4%,11200000,-528075.2005574922,398.46232874210995,717,2:36:06
22.5%,11250000,-527448.3220551028,400.4950569895824,717,2:35:54
22.6%,11300000,-527709.9796813172,399.6715150240061,717,2:35:42
22.7%,11350000,-527820.9790813094,401.58805933495876,717,2:35:30
22.8%,11400000,-527806.870774773,395.25677075706614,717,2:35:18
22.9%,11450000,-528043.4176087766,400.4597062605864,717,2:35:06
23.0%,11500000,-527192.9436476189,402.7190864061809,717,2:34:54
23.1%,11550000,-528985.2873079996,401.01768844727195,717,2:34:42
23.2%,11600000,-528994.7411614293,401.6705607240035,717,2:34:30
23.3%,11650000,-529996.4272042005,400.51568846986385,717,2:34:18
23.4%,11700000,-526763.7566286507,399.83077729509705,717,2:34:07
23.5%,11750000,-528271.1610774058,401.1203306749743,717,2:33:55
23.6%,11800000,-529147.3488602876,401.0995520022057,717,2:33:43
23.7%,11850000,-528561.5908122491,403.7616753247102,717,2:33:31
23.8%,11900000,-527606.9826131924,397.8885724272188,717,2:33:19
23.9%,11950000,-527073.5281477938,399.6549804012835,717,2:33:07
24.0%,12000000,-526817.57741625,398.0578683195167,717,2:32:55
24.1%,12050000,-528812.8765374878,401.39079687010326,717,2:32:43
24.2%,12100000,-527220.9088975354,400.3516424429408,717,2:32:31
24.3%,12150000,-527690.563277482,401.95930331961966,717,2:32:19
24.4%,12200000,-529921.4352490748,398.92340920809164,717,2:32:07
24.5%,12250000,-526507.4381072242,407.12357626318317,717,2:31:55
24.6%,12300000,-527426.881781626,397.52888305279873,717,2:31:43
24.7%,12350000,-526358.0241982159,398.33086131900825,717,2:31:31
24.8%,12400000,-528172.85466837,399.33365920184593,717,2:31:19
24.9%,12450000,-529171.992183065,399.19004839855484,717,2:31:07
25.0%,12500000,-528221.5260004983,401.86080701363846,717,2:30:55
25.1%,12550000,-527834.4810956176,401.55003460911297,717,2:30:43
25.2%,12600000,-527060.5983662922,401.663029375078,717,2:30:31
25.3%,12650000,-526728.1445314651,399.54247627694235,716,2:30:19
25.4%,12700000,-527646.3936308352,401.5377195043552,716,2:30:07
25.5%,12750000,-527841.8398806415,398.8358051461592,716,2:29:55
25.6%,12800000,-527259.7501906361,399.3198721722167,716,2:29:44
25.7%,12850000,-527783.8399615264,401.708021211982,716,2:29:32
25.8%,12900000,-528306.5084321792,399.871402421549,716,2:29:20
25.9%,12950000,-528129.4295739983,401.99772055876446,716,2:29:08
26.0%,13000000,-528006.4273802019,399.7649822533432,716,2:28:55
26.1%,13050000,-528848.2694753301,400.9735552332096,716,2:28:43
26.2%,13100000,-529168.1566605605,401.0449681215561,716,2:28:31
26.3%,13150000,-529406.5431294255,398.22387691293505,716,2:28:19
26.4%,13200000,-527649.0742834886,400.2042782312275,716,2:28:08
26.5%,13250000,-529195.0397929694,400.46139897418857,716,2:27:56
26.6%,13300000,-528604.2064384948,402.08274875217194,716,2:27:44
26.7%,13350000,-528574.881918049,400.3043936545672,716,2:27:32
26.8%,13400000,-527406.6630639094,399.71331769035527,716,2:27:20
26.9%,13450000,-528974.826696686,399.35598339572965,716,2:27:08
27.0%,13500000,-527392.0544107398,397.2008155310337,716,2:26:56
27.1%,13550000,-527915.1086518276,399.9161489376411,716,2:26:44
27.2%,13600000,-527665.9118170133,400.1446407418525,716,2:26:32
27.3%,13650000,-529764.6219273927,399.57657586979764,716,2:26:20
27.4%,13700000,-528918.5640939213,400.11407376868874,716,2:26:08
27.5%,13750000,-527624.5956611619,399.0597830474315,716,2:25:56
27.6%,13800000,-527709.3914124379,397.85054770137293,716,2:25:44
27.7%,13850000,-526152.0833560801,399.2251292746577,716,2:25:32
27.8%,13900000,-527113.524779648,400.6024584410359,716,2:25:20
27.9%,13950000,-528305.4223611848,400.8902197534043,716,2:25:08
28.0%,14000000,-528296.919808004,399.79383198082365,716,2:24:56
28.1%,14050000,-529441.050974126,396.81703565288433,716,2:24:44
28.2%,14100000,-528209.5636942298,400.4814171524403,716,2:24:32
28.3%,14150000,-528140.2775694877,396.5157080996173,716,2:24:20
28.4%,14200000,-527521.1800706359,402.30206555801794,716,2:24:08
28.5%,14250000,-527534.4725048728,400.9355795715262,716,2:23:56
28.6%,14300000,-530042.1953225979,399.88852581422026,716,2:23:44
28.7%,14350000,-529423.576868426,397.5853559037,716,2:23:32
28.8%,14400000,-529084.0446763039,399.25503388162934,716,2:23:20
28.9%,14450000,-528248.6530388934,399.54242721277996,716,2:23:08
29.0%,14500000,-528660.8472404466,401.0714137050798,716,2:22:56
29.1%,14550000,-528221.744594032,399.32181020663074,716,2:22:44
29.2%,14600000,-528975.6786785955,399.48580716939153,716,2:22:32
29.3%,14650000,-528998.5762692187,402.1803128390679,716,2:22:20
29.4%,14700000,-527736.9657191997,400.767534815369,716,2:22:08
29.5%,14750000,-527765.2485695286,402.5228788208167,716,2:21:56
29.6%,14800000,-528425.4717978928,399.9121256763258,716,2:21:44
29.7%,14850000,-528554.8823182918,401.0337324283707,716,2:21:32
29.8%,14900000,-527333.3466549488,395.9813012429562,716,2:21:20
29.9%,14950000,-528601.5090029263,403.61087662163015,716,2:21:08
30.0%,15000000,-528834.4544523763,398.6282146751223,716,2:20:56
30.1%,15050000,-528482.7133864202,401.24151915605705,716,2:20:44
30.2%,15100000,-528890.3012695662,397.6262754151264,716,2:20:32
30.3%,15150000,-525569.4203352355,401.2671306488203,716,2:20:20
30.4%,15200000,-528286.9389139009,398.48514357761746,716,2:20:08
30.5%,15250000,-529292.1052371473,399.2990689673669,716,2:19:56
30.6%,15300000,-529457.0781212277,401.16169176386205,716,2:19:44
30.7%,15350000,-527313.2329793866,400.5083043134254,716,2:19:32
30.8%,15400000,-526928.4337173863,397.35024043756704,716,2:19:20
30.9%,15450000,-530754.6194675551,402.0391307118146,716,2:19:08
31.0%,15500000,-527188.6566282399,401.1757977105468,716,2:18:56
31.1%,15550000,-527903.1902394607,402.4265658700615,716,2:18:44
31.2%,15600000,-526165.9935826282,397.837055056718,716,2:18:32
31.3%,15650000,-527962.9449447966,400.39506422664857,716,2:18:20
31.4%,15700000,-527038.2676658318,400.6865789474392,716,2:18:07
31.5%,15750000,-527469.6952968575,401.28805651407606,716,2:17:55
31.6%,15800000,-528487.8304929738,397.55981800718035,716,2:17:43
31.7%,15850000,-529796.8766271528,400.47047584422916,716,2:17:31
31.8%,15900000,-528925.8945033876,399.8202530322661,716,2:17:19
31.9%,15950000,-527785.8661488346,400.6095236804188,716,2:17:07
32.0%,16000000,-528159.6961714388,403.3354304140194,716,2:16:55
32.1%,16050000,-528805.2051547063,401.17224055877415,716,2:16:43
32.2%,16100000,-525744.1725450992,400.40953815455117,716,2:16:31
32.3%,16150000,-530183.8959228867,400.0907192273951,716,2:16:19
32.4%,16200000,-527996.741114187,399.52606431462567,716,2:16:07
32.5%,16250000,-526949.6715846537,401.19466288098255,716,2:15:55
32.6%,16300000,-527464.8495831811,402.951773196276,716,2:15:43
32.7%,16350000,-528286.1287410022,400.5645809076772,716,2:15:31
32.8%,16400000,-527357.4916006932,399.0290688817806,716,2:15:19
32.9%,16450000,-528881.1468276321,398.99170652212695,716,2:15:07
33.0%,16500000,-527540.251937767,400.7412609564136,716,2:14:55
33.1%,16550000,-527430.1203869511,398.0647618343313,716,2:14:43
33.2%,16600000,-528969.9359656447,399.9938175066913,716,2:14:31
33.3%,16650000,-528595.6848480841,400.3221303492682,716,2:14:19
33.4%,16700000,-528613.1246184944,399.7710662094785,716,2:14:07
33.5%,16750000,-526469.4865463795,400.5919587102862,716,2:13:55
33.6%,16800000,-526935.2251883526,401.51075874712643,716,2:13:43
33.7%,16850000,-530375.2963993205,402.6025835526057,716,2:13:31
33.8%,16900000,-527320.5258514285,402.1021045642315,716,2:13:18
33.9%,16950000,-528448.3746755738,399.8310226159089,716,2:13:06
34.0%,17000000,-527327.8134760661,399.2610933056835,716,2:12:54
34.1%,17050000,-528457.3377131,399.21080253924225,716,2:12:42
34.2%,17100000,-526984.7617638125,401.4463620340005,716,2:12:30
34.3%,17150000,-529151.6475530406,401.058706087023,716,2:12:18
34.4%,17200000,-528103.8142890674,399.9668076853002,716,2:12:06
34.5%,17250000,-527816.9217461613,400.5487822473903,716,2:11:54
34.6%,17300000,-527535.5760505153,401.3314047015403,716,2:11:42
34.7%,17350000,-528909.4729099623,400.17994240668617,716,2:11:30
34.8%,17400000,-529352.3536500111,400.2762798895225,716,2:11:18
34.9%,17450000,-529412.6029086569,401.62740879318886,716,2:11:06
35.0%,17500000,-528432.670993608,398.89899978730676,716,2:10:54
35.1%,17550000,-526994.4224121436,400.0501922292678,716,2:10:42
35.2%,17600000,-528451.9032606832,401.5455697703362,716,2:10:30
35.3%,17650000,-528144.316625651,402.66246636279254,716,2:10:18
35.4%,17700000,-528837.7383328741,402.5095824328112,716,2:10:06
35.5%,17750000,-526754.4519178644,400.5812872549682,716,2:09:54
35.6%,17800000,-527770.19201048,404.152839359298,716,2:09:42
35.7%,17850000,-528635.1431738948,402.77904281261135,716,2:09:30
35.8%,17900000,-527796.4594024881,400.6422494767274,716,2:09:17
35.9%,17950000,-530109.0924464264,402.30076535771485,716,2:09:05
36.0%,18000000,-530035.2969515333,402.0070672816982,716,2:08:53
36.1%,18050000,-529733.8996302676,404.321497417485,716,2:08:41
36.2%,18100000,-528607.0836582379,397.6716842974106,716,2:08:29
36.3%,18150000,-527581.2393680136,399.99445534080223,716,2:08:17
36.4%,18200000,-529694.682675092,399.8656373824692,716,2:08:05
36.5%,18250000,-528771.4976587878,400.14834508611233,716,2:07:53
36.6%,18300000,-527713.2664781176,397.8193919582606,716,2:07:41
36.7%,18350000,-528073.7916986756,400.2905575607756,716,2:07:29
36.8%,18400000,-529463.8469267176,396.8316322411929,716,2:07:17
36.9%,18450000,-527695.731579781,398.95105686359375,716,2:07:05
37.0%,18500000,-527333.3307542526,402.96720387534504,716,2:06:52
37.1%,18550000,-528269.839983888,401.1066908378322,716,2:06:40
37.2%,18600000,-526674.6434235941,398.59234877242136,716,2:06:28
37.3%,18650000,-528517.1513576112,399.3544133425334,716,2:06:16
37.4%,18700000,-527988.9142739656,401.7792378436789,716,2:06:04
37.5%,18750000,-527169.1365303202,399.7417258403743,716,2:05:52
37.6%,18800000,-529566.2358422116,396.6224717169598,716,2:05:40
37.7%,18850000,-528889.0215342771,399.86311057810656,716,2:05:28
37.8%,18900000,-528947.572587572,398.3201407995279,716,2:05:16
37.9%,18950000,-530507.5033254768,402.2062677809678,716,2:05:04
38.0%,19000000,-528257.052126212,397.21006412564265,716,2:04:52
38.1%,19050000,-529963.4252618868,397.7599997896976,716,2:04:40
38.2%,19100000,-528939.0033811997,400.7928764552391,716,2:04:28
38.3%,19150000,-528338.3582734675,401.3867981408692,716,2:04:16
38.4%,19200000,-527121.7403629194,398.3819125799664,716,2:04:04
38.5%,19250000,-527464.7911078027,399.45337575805723,716,2:03:52
38.6%,19300000,-529379.7208314128,402.3831931505161,716,2:03:40
38.7%,19350000,-529119.1889533089,402.60459518326337,716,2:03:28
38.8%,19400000,-528551.3522446482,400.3688884960179,716,2:03:16
38.9%,19450000,-527795.5011876249,401.2337670184007,716,2:03:04
39.0%,19500000,-529426.1658419934,400.3388857607215,716,2:02:52
39.1%,19550000,-529689.7654259889,400.91921667337186,716,2:02:40
39.2%,19600000,-530311.4901191532,400.8722132058102,716,2:02:28
39.3%,19650000,-527882.5738487178,397.78117097576524,716,2:02:16
39.4%,19700000,-529420.9411922791,400.5380371958287,716,2:02:04
39.5%,19750000,-527308.5189086162,399.59482773820355,716,2:01:52
39.6%,19800000,-528410.3486116868,401.7924115712784,716,2:01:40
39.7%,19850000,-527996.9910658421,401.3660930643441,716,2:01:28
39.8%,19900000,-527308.1008054414,400.6461746097179,716,2:01:16
39.9%,19950000,-526143.0354609522,400.4379463045701,716,2:01:04
40.0%,20000000,-527880.6560937287,401.93700365781723,716,2:00:52
40.1%,20050000,-529147.5091185966,400.1594581188918,716,2:00:40
40.2%,20100000,-527046.6148311608,398.8767001255043,716,2:00:28
